.data
obstacle: .word 16, 16
.byte 77,77,77,0,76,77,77,77,77,77,77,0,76,77,77,77,
77,77,77,0,76,77,77,77,77,77,77,0,76,77,77,77,
76,76,76,0,76,76,76,76,76,76,76,0,76,76,76,76,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,76,77,77,77,77,77,77,0,76,77,77,77,77,77,77,
0,76,77,77,77,77,77,77,0,76,77,77,77,77,77,77,
0,76,76,76,76,76,76,76,0,76,76,76,76,76,76,76,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
77,77,77,0,76,77,77,77,77,77,77,0,76,77,77,77,
77,77,77,0,76,77,77,77,77,77,77,0,76,77,77,77,
76,76,76,0,76,76,76,76,76,76,76,0,76,76,76,76,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,76,77,77,77,77,77,77,0,76,77,77,77,77,77,77,
0,76,77,77,77,77,77,77,0,76,77,77,77,77,77,77,
0,76,76,76,76,76,76,76,0,76,76,76,76,76,76,76,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,


