enemyv1: .word 16, 16
.byte 0,0,0,164,0,0,0,0,0,0,0,0,164,0,0,0,
0,0,164,164,164,0,0,164,164,0,0,164,164,164,0,0,
0,164,164,164,164,164,164,164,164,164,164,164,164,164,164,0,
164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,
0,164,164,164,164,164,164,164,164,164,164,164,164,164,164,0,
0,0,164,164,164,0,0,164,164,0,0,164,164,164,0,0,
0,0,164,164,164,0,0,164,164,0,0,164,164,164,0,0,
0,164,164,164,164,164,164,82,82,164,164,164,164,164,164,0,
0,164,164,164,164,164,82,0,0,82,164,164,164,164,164,0,
0,0,164,164,164,164,0,0,0,0,164,164,164,164,0,0,
0,0,164,164,164,164,82,164,164,82,164,164,164,164,0,0,
0,164,164,164,164,164,164,164,164,164,164,164,164,164,164,0,
164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,
0,164,164,164,164,164,164,164,164,164,164,164,164,164,164,0,
0,0,164,164,164,0,0,164,164,0,0,164,164,164,0,0,
0,0,0,164,0,0,0,0,0,0,0,0,164,0,0,0,


